# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	156704
#@/user_id	droid-rMBP
a 	啊	c=61 d=1.05722 t=155644
chu chai 	出差	c=3 d=1.00014 t=76531
chu chu 	出處	c=2 d=1 t=131915
chu ci 	初次	c=1 d=1 t=36696
chu fa 	出發	c=3 d=1 t=58455
chu fa 	觸發	c=43 d=1 t=152614
chu fang 	處方	c=1 d=1 t=82283
chu fei 	除非	c=1 d=1 t=96043
chu jian 	初見	c=2 d=1.98511 t=18880
chu kou 	出口	c=5 d=1 t=117803
chu lai 	出來	c=117 d=1.31197 t=156586
chu le 	除了	c=5 d=1 t=147312
chu li 	處理	c=449 d=2.23141 t=156203
chu li ren yuan 	處理人員	c=1 d=1 t=140571
chu mo 	出沒	c=2 d=1.00368 t=115704
chu qu 	出去	c=8 d=1 t=151998
chu sheng 	出生	c=1 d=1 t=46531
chu shi 	初始	c=12 d=1 t=150861
chu shi hua 	初始化	c=62 d=1.08765 t=154351
chu shi xia 	初始下	c=1 d=1 t=26462
chu shou 	出售	c=1 d=1 t=37388
chu wen ti 	出問題	c=3 d=1.95123 t=88693
chu xian 	出現	c=48 d=1.44133 t=156047
chu yi 	除以	c=1 d=1 t=92071
chu yuan 	出院	c=2 d=1.98511 t=82299
chu zu che 	出租車	c=1 d=1 t=110525
chuan 	串	c=5 d=1 t=141875
chuan 	傳	c=359 d=2.39405 t=156537
chuan cha xun 	傳查詢	c=1 d=1 t=147631
chuan chu li 	串處理	c=2 d=1 t=141457
chuan da chu 	傳達出	c=1 d=1 t=94705
chuan di 	傳遞	c=1 d=1 t=2968
chuan gan qi 	傳感器	c=1 d=1 t=147117
chuan huan 	傳喚	c=5 d=1 t=151249
chuan ru 	傳入	c=4 d=1 t=119498
chuan shu 	傳輸	c=2 d=1 t=155669
chuan tong 	傳統	c=2 d=1 t=48363
chuan tou 	穿透	c=3 d=1.956 t=115756
chuan xi 	喘息	c=1 d=1 t=136434
chuan xia 	傳下	c=1 d=1 t=72924
chuang 	牀	c=1 d=1 t=144805
chuang 	窗	c=2 d=1 t=96130
chuang jian 	創建	c=134 d=1 t=154016
chuang jian ren 	創建人	c=1 d=1 t=144362
chuang jian zhe 	創建者	c=2 d=1 t=135624
chuang kou 	窗口	c=8 d=1 t=145474
chuang kuang 	窗框	c=1 d=1 t=59905
chuang ta 	牀榻	c=1 d=1 t=81744
chun 	春	c=3 d=1.00004 t=89672
chun 	純	c=3 d=1.92312 t=115191
chun jie 	春節	c=1 d=1 t=102676
chun jing 	純淨	c=2 d=1 t=124089
ci 	次	c=26 d=1 t=155478
ci 	此	c=3 d=1 t=120446
ci 	詞	c=4 d=1 t=131725
ci cao zuo 	此操作	c=1 d=1 t=145655
ci li 	磁力	c=3 d=1 t=146131
ci pan 	磁盤	c=12 d=1 t=149846
ci shu 	次數	c=21 d=2.23581 t=156350
cong 	從	c=43 d=1 t=154408
cou dao 	湊到	c=2 d=1.99501 t=95815
cui 	催	c=1 d=1 t=74291
cun 	存	c=43 d=1.00099 t=155626
cun chu 	存儲	c=44 d=1 t=153001
cun chu cen gong 	存儲岑鞏	c=1 d=1 t=122462
cun chu cheng gong 	存儲成功	c=1 d=1 t=121302
cun chu chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi 	存儲叱吒叱吒叱吒吒叱吒叱吒叱吒吒叱吒叱吒叱吒吒叱吒叱吒叱吒吒叱吒叱吒叱吒吒	c=1 d=1 t=83426
cun qian 	存錢	c=2 d=1.97045 t=70689
cun zai 	存在	c=55 d=1.05872 t=151283
cuo 	錯	c=89 d=1.79381 t=155851
cuo wu 	錯誤	c=131 d=2.38203 t=156555
da 	大	c=89 d=1.00613 t=156669
da 	打	c=51 d=1.00559 t=149252
da 	搭	c=1 d=1 t=74053
da 	答	c=21 d=1 t=155871
da 	達	c=5 d=1.97045 t=44321
da an 	答案	c=27 d=1.70079 t=156693
da bao 	打包	c=102 d=1.44051 t=154710
da bu fen 	大部分	c=2 d=1.00008 t=36055
da bu kai 	打不開	c=9 d=1.52994 t=152746
da bu liao 	大不了	c=1 d=1 t=121345
da che 	打車	c=1 d=1 t=67786
da cuo 	打錯	c=1 d=1 t=142210
da dian hua 	打電話	c=2 d=1.8781 t=8270
da duan 	打斷	c=1 d=1 t=56980
da gai 	大概	c=11 d=1 t=144533
da ge 	大哥	c=2 d=1 t=56437
da ge 	打個	c=21 d=1 t=146253
da gong 	大功	c=2 d=0.217655 t=156022
da hui 	打回	c=1 d=1 t=54346
da jian 	搭建	c=1 d=1 t=156241
da juan 	答卷	c=1 d=1 t=156245
da kai 	打開	c=106 d=1.42947 t=156619
da lian 	大連	c=7 d=1.93711 t=74096
da liang 	大量	c=5 d=1 t=143011
da lu 	大陸	c=9 d=1 t=156222
da ping 	大屏	c=2 d=1 t=149206
da sha tian 	大沙田	c=73 d=1.99501 t=148659
da su da 	大蘇打	c=0 d=0.1 t=85383
da suan 	打算	c=2 d=1 t=94510
da ti 	答題	c=3 d=1 t=58655
da ti ka 	答題卡	c=1 d=1 t=156062
da xiao 	大小	c=40 d=1.78212 t=155649
da xiao xie 	大小寫	c=4 d=1.93239 t=142906
da xie 	大寫	c=5 d=1 t=147491
da xue sheng 	大學生	c=1 d=1 t=148268
da ye 	大爺	c=0 d=0.1 t=141025
da yin 	打印	c=2 d=1 t=111585
da you 	打油	c=1 d=1 t=11130
da yu 	大於	c=10 d=1 t=156208
da zi 	打字	c=1 d=1 t=139978
da zuo zhan 	大作戰	c=1 d=1 t=48526
dai 	代	c=6 d=1 t=129871
dai 	帶	c=49 d=1.52438 t=154889
dai 	待	c=33 d=1.47515 t=151804
dai 	戴	c=1 d=1 t=53380
dai 	貸	c=1 d=1 t=95463
dai ban 	代辦	c=5 d=1.1288 t=34958
dai biao 	代表	c=1 d=1 t=12028
dai fu 	代付	c=1 d=1 t=17605
dai gou 	代購	c=1 d=1 t=17601
dai hui da 	待回答	c=1 d=1 t=49495
dai hui er 	呆會兒	c=1 d=1 t=100580
dai hui er 	待會兒	c=1 d=1 t=66805
dai kao 	代考	c=1 d=1 t=77476
dai kou 	代扣	c=3 d=1 t=100330
dai kuan 	帶寬	c=1 d=1 t=154551
dai lai 	帶來	c=1 d=1 t=37305
dai li 	代理	c=86 d=1.06519 t=152176
dai ma 	代碼	c=452 d=1.06195 t=156287
dai ming 	待命	c=1 d=1 t=107699
dai na 	戴拿	c=1 d=1 t=114554
dai shang 	帶上	c=11 d=1 t=139531
dai shen he 	待審覈	c=2 d=1 t=146988
dan 	丹	c=12 d=1 t=95208
dan 	但	c=110 d=1.00107 t=156033
dan 	單	c=126 d=1.00326 t=150162
dan 	蛋	c=2 d=1 t=142380
dan chun 	單純	c=5 d=1 t=155661
dan dian 	單點	c=20 d=1 t=124156
dan du 	單獨	c=34 d=1 t=146572
dan ge 	單個	c=4 d=1 t=118472
dan ge 	耽擱	c=1 d=1 t=9352
dan hao 	單號	c=2 d=1 t=118710
dan ji 	單機	c=1 d=1 t=10782
dan mu 	彈幕	c=14 d=1 t=137241
dan shi 	但是	c=8 d=1.19109 t=152258
dan wei 	單位	c=13 d=1.9802 t=153989
dan xiang 	單向	c=1 d=1 t=26607
dan xin 	擔心	c=3 d=1.94649 t=115130
dan xuan 	單選	c=6 d=1 t=152431
dan yin hao 	單引號	c=1 d=1 t=150377
dan zhang 	單張	c=1 d=1 t=77711
dan zi 	單子	c=77 d=1.89137 t=152869
dang 	擋	c=1 d=1 t=48045
dang 	當	c=12 d=1 t=156395
dang ji 	宕機	c=1 d=1 t=87329
dang qian 	當前	c=118 d=1.00507 t=153242
dang qian ti 	當前題	c=1 d=1 t=63013
dang ran 	當然	c=24 d=1 t=154068
dang shi 	當事	c=1 d=1 t=72982
dang shi 	當時	c=6 d=1 t=125111
dang tian 	當天	c=1 d=1 t=15148
dao 	倒	c=4 d=1 t=149949
dao 	到	c=378 d=1.65574 t=156465
dao 	導	c=13 d=1.00625 t=156109
dao 	島	c=0 d=0.1 t=147959
dao 	道	c=1 d=1 t=54973
dao chu 	導出	c=116 d=1.75696 t=151894
dao ci chu 	到此處	c=1 d=1 t=130246
dao da 	到達	c=2 d=1 t=99386
dao de 	道德	c=2 d=1 t=102729
dao di 	到底	c=4 d=1 t=144198
dao fang 	到訪	c=2 d=1 t=103892
dao hang 	導航	c=1 d=1 t=148082
dao jia 	到家	c=3 d=1.36788 t=117931
dao ju 	道具	c=1 d=1 t=112522
dao le 	到了	c=20 d=1 t=148470
dao li 	道理	c=8 d=1 t=147403
dao lun 	導論	c=2 d=1.99005 t=47895
dao mo 	倒模	c=2 d=1.97531 t=10227
dao qi 	到期	c=17 d=1 t=106358
dao ru 	導入	c=75 d=4.01469 t=156637
dao shi 	倒是	c=1 d=1 t=11847
dao shi hou 	到時候	c=39 d=1 t=156440
dao wei 	到位	c=1 d=1 t=131692
dao zhi 	導致	c=28 d=1.00015 t=145616
de 	得	c=3 d=1 t=129136
de 	的	c=6091 d=7.24237 t=156663
de dao 	得到	c=1 d=1 t=102108
de e 	的額	c=2 d=1 t=133684
de guo 	德國	c=2 d=1.99501 t=36769
de qing qiu 	的請求	c=1 d=1 t=26659
de ren 	的人	c=2 d=1 t=95978
de zhang hao 	的帳號	c=1 d=1 t=36903
dei 	得	c=2 d=1 t=156077
deng 	登	c=7 d=1 t=134032
deng 	等	c=400 d=1.05025 t=155560
deng chu 	登出	c=49 d=1.78655 t=149809
deng dai 	等待	c=3 d=1 t=144422
deng deng 	等等	c=2 d=1 t=154271
deng ji 	登記	c=6 d=1 t=152510
deng ji 	等級	c=1 d=1 t=81217
deng lu 	登錄	c=257 d=3.4482 t=154188
deng lu luo ji 	登錄邏輯	c=1 d=1 t=11095
deng ni 	等你	c=4 d=1 t=131270
deng tong yu 	等同於	c=1 d=1 t=113121
deng wo 	等我	c=4 d=1 t=88891
deng xia 	燈下	c=4 d=1.00003 t=140082
deng xiao 	等效	c=1 d=1 t=94355
deng yu 	等於	c=14 d=1.00034 t=156209
di 	低	c=5 d=1 t=97397
di 	底	c=7 d=1 t=130758
di 	第	c=16 d=1 t=156514
di 	迪	c=1 d=1 t=53377
di bu 	底部	c=5 d=1.45841 t=138212
di da 	滴答	c=3 d=1 t=75533
di dian 	地點	c=1 d=1 t=86216
di er 	第二	c=5 d=1 t=132214
di er ban 	第二版	c=2 d=1 t=113394
di er ci 	第二次	c=1 d=1 t=3581
di er ge 	第二個	c=5 d=1 t=148474
di er ji 	第二季	c=2 d=1 t=114596
di er qi 	第二期	c=1 d=1 t=139064
di er ye 	第二頁	c=1 d=1 t=544
di fang 	地方	c=24 d=1.00001 t=155267
di fang cai zheng 	地方財政	c=0 d=0.1 t=105738
di gui 	遞歸	c=2 d=1 t=135468
di kou 	抵扣	c=1 d=1 t=110529
di li 	地理	c=1 d=1 t=6817
di que 	的確	c=16 d=1 t=154926
di san 	第三	c=1 d=1 t=13966
di san fang 	第三方	c=19 d=1 t=156417
di tu 	底圖	c=3 d=1.85521 t=45788
di wen ban 	低溫版	c=1 d=1 t=64013
di yi 	第一	c=11 d=1 t=123753
di yi ban 	第一版	c=1 d=1 t=85679
di yi ceng 	第一層	c=2 d=1.87372 t=965
di yi ci 	第一次	c=7 d=1 t=128388
di yi ge 	第一個	c=19 d=1 t=153814
di yi qi 	第一期	c=1 d=1 t=139073
di yi tiao 	第一條	c=1 d=1 t=117790
di yi ye 	第一頁	c=1 d=1 t=536
di yu 	地域	c=2 d=1.00298 t=57851
di zhi 	地址	c=337 d=1.86456 t=155904
di zhong hai 	地中海	c=1 d=1 t=148460
di zhou 	地軸	c=1 d=1 t=101579
dian 	點	c=211 d=1.02044 t=156020
dian ban 	點半	c=4 d=1 t=125523
dian chi 	電池	c=1 d=1 t=17606
dian chui feng 	電吹風	c=1 d=1 t=89002
dian dao 	點到	c=1 d=1 t=144588
dian fu 	顛覆	c=1 d=1 t=41413
dian hua 	電話	c=12 d=1 t=87950
dian ji 	點擊	c=38 d=1.06822 t=156061
dian liang 	點亮	c=1 d=1 t=143261
dian nao 	電腦	c=21 d=1 t=154818
dian pu 	店鋪	c=1 d=1 t=119111
dian xia 	點下	c=1 d=1 t=133602
dian xin 	電信	c=1 d=1 t=83625
dian ying 	電影	c=4 d=1 t=146129
dian yuan 	電源	c=1 d=1 t=117942
dian zan 	點讚	c=22 d=3.33229 t=143293
dian zan shu 	點讚數	c=1 d=1 t=140249
dian zhu 	店主	c=1 d=1 t=34419
dian zi 	電子	c=2 d=1 t=89621
diao 	掉	c=56 d=1.00101 t=156629
diao 	調	c=74 d=1.00094 t=156262
diao du 	調度	c=15 d=1.956 t=155967
diao shi 	雕飾	c=1 d=1 t=43080
diao xian 	掉線	c=2 d=1 t=83096
diao yan 	調研	c=2 d=1.2865 t=53684
diao yong 	調用	c=19 d=1 t=146884
die 	疊	c=1 d=1 t=95639
die 	跌	c=3 d=1 t=121858
ding 	丁	c=4 d=1.99501 t=117928
ding 	定	c=21 d=1 t=153281
ding an 	定案	c=1 d=1 t=75754
ding can 	訂餐	c=3 d=1 t=80384
ding ceng 	頂層	c=1 d=1 t=111480
ding dan 	訂單	c=16 d=4.39425 t=48950
ding ding 	釘釘	c=10 d=1.79757 t=86136
ding ge 	訂個	c=4 d=1.02215 t=144522
ding shi 	定時	c=72 d=1.0003 t=146736
ding shi qi 	定時器	c=11 d=1 t=108870
ding wei 	定位	c=14 d=1.14734 t=147992
ding xiang 	定向	c=1 d=1 t=40519
ding yi 	定義	c=23 d=1 t=148050
ding yue 	訂閱	c=173 d=1 t=154017
ding yue hao 	訂閱號	c=7 d=1 t=140762
ding zhi 	定製	c=15 d=1 t=119707
diu 	丟	c=8 d=2.46047 t=155671
diu le 	丟了	c=1 d=1 t=16619
diu shi 	丟失	c=10 d=1.98866 t=105824
dong 	動	c=26 d=1 t=154066
dong 	懂	c=12 d=1 t=154638
dong 	東	c=55 d=1 t=153921
dong 	棟	c=17 d=1.00001 t=144251
dong ci 	動詞	c=0 d=0.1 t=16534
dong ci ke ren 	動詞客人	c=4 d=1 t=118998
dong dong 	東東	c=8 d=2.94575 t=148292
dong guo 	動過	c=1 d=1 t=32823
dong hua 	動畫	c=1 d=1 t=114564
dong jing 	東京	c=3 d=1.97531 t=133035
dong shou 	動手	c=1 d=1 t=149472
dong tai 	動態	c=73 d=1 t=153724
dong tu 	動圖	c=1 d=1 t=105749
dong xi 	東西	c=32 d=1.00003 t=149865
dou 	豆	c=4 d=1 t=147962
dou 	都	c=463 d=1.32766 t=156045
dou di zhu 	鬥地主	c=1 d=1 t=101578
dou hao 	逗號	c=4 d=1 t=156497
dou hui 	都會	c=7 d=1.00101 t=109203
dou neng 	都能	c=3 d=1 t=138415
dou shi 	都是	c=68 d=1 t=153424
dou yao 	都要	c=9 d=1 t=149547
dou yin 	抖音	c=2 d=1 t=122857
dou you 	都有	c=1 d=1 t=122050
dou zai 	都在	c=2 d=1 t=91661
drop box 	Dropbox	c=1 d=1 t=150758
du 	度	c=3 d=1.97531 t=145482
du 	毒	c=2 d=1 t=93284
du 	讀	c=34 d=1 t=114624
du bi 	杜比	c=2 d=1 t=85407
du jiao shou 	獨角獸	c=1 d=1 t=143552
du li 	獨立	c=28 d=1.81058 t=156448
du liang 	度量	c=182 d=1.00005 t=155964
du liang bei 	度量貝	c=20 d=1 t=136740
du liang ha 	度量哈	c=1 d=1 t=98268
du liang hao 	度量號	c=15 d=1 t=141516
du liang yun 	度量雲	c=30 d=1 t=147318
du pi 	肚皮	c=1 d=1 t=148284
du pin 	毒品	c=1 d=1 t=39162
du qu 	讀取	c=10 d=1 t=92465
du shi 	都市	c=4 d=1.00031 t=2080
du shu 	讀書	c=3 d=1.99158 t=114692
du xie 	讀寫	c=3 d=1.00003 t=116005
du ye 	毒液	c=4 d=2.93678 t=93283
duan 	斷	c=11 d=2.92669 t=155079
duan 	段	c=3 d=1 t=103159
duan 	短	c=88 d=1.49003 t=153204
duan 	端	c=157 d=2.10003 t=155796
duan dian 	斷點	c=1 d=1 t=110514
duan dian xu chuan 	斷點續傳	c=1 d=1 t=78910
duan hao 	短號	c=3 d=1 t=73602
duan kai 	斷開	c=5 d=1 t=156009
duan kou 	端口	c=91 d=1.00622 t=156051
duan kou hao 	端口號	c=2 d=1 t=54799
duan le 	斷了	c=1 d=1 t=31154
duan wang 	斷網	c=2 d=1 t=15422
duan xian 	短線	c=1 d=1 t=20449
duan xiao xi 	短消息	c=22 d=2.80562 t=103796
duan xin 	短信	c=125 d=1.00415 t=151430
duan xin xi 	短信息	c=1 d=1 t=65093
dui 	堆	c=1 d=1 t=1718
dui 	對	c=217 d=1.2352 t=156592
dui 	隊	c=8 d=1 t=155592
dui bi 	對比	c=4 d=1 t=155690
dui bu dui 	對不對	c=7 d=1 t=145010
dui chen 	對稱	c=1 d=1 t=109095
dui fang 	對方	c=3 d=1 t=24428
dui hua 	對話	c=4 d=1 t=115966
dui huan 	兌換	c=15 d=1 t=92390
dui huan ma 	兌換碼	c=24 d=1 t=150180
dui ji 	堆積	c=1 d=1 t=36364
dui jie 	對接	c=55 d=1.0296 t=155389
dui lie 	隊列	c=11 d=1 t=144423
dui qi 	對其	c=8 d=1 t=143487
dui shang 	對上	c=1 d=1 t=45477
dui wai 	對外	c=3 d=1 t=117597
dui xia 	對下	c=4 d=1 t=123901
dui xiang 	對象	c=55 d=1 t=156375
dui ying 	對應	c=36 d=1.00017 t=153237
dui yu 	對於	c=5 d=1 t=112068
dui zhan 	堆棧	c=1 d=1 t=1663
dui zhao 	對照	c=1 d=1 t=13607
dun 	噸	c=4 d=2.1477 t=95169
duo 	多	c=120 d=1.06034 t=156641
duo 	朵	c=1 d=1 t=114565
duo ci 	多次	c=4 d=1 t=112113
duo ge 	多個	c=29 d=1 t=148051
duo hang 	多行	c=2 d=1 t=141270
duo he yi 	多合一	c=3 d=2.98506 t=118445
duo jiu 	多久	c=4 d=1 t=130394
duo kai 	多開	c=5 d=1 t=150748
duo liang 	度量	c=1 d=1 t=113450
duo ren 	多人	c=1 d=1 t=107656
duo shao 	多少	c=53 d=1 t=155573
duo xuan 	多選	c=11 d=1 t=152430
duo yu 	多餘	c=1 d=1 t=24660
e 	額	c=225 d=2.30545 t=156311
e du 	惡毒	c=1 d=1 t=105732
e mo 	惡魔	c=1 d=1 t=113937
e shi 	俄式	c=3 d=1.5975 t=105741
e wai 	額外	c=2 d=1 t=134499
e wai wang 	額外網	c=1 d=1 t=100032
e yi 	惡意	c=0 d=0.1 t=96012
en 	恩	c=730 d=3.11215 t=156688
en en 	嗯嗯	c=1 d=1 t=86373
en en xia 	嗯嗯下	c=1 d=1 t=54242
en xing 	恩幸	c=1 d=1 t=40754
er 	二	c=25 d=1.00028 t=154766
er 	兒	c=4 d=1 t=143923
er 	而	c=2 d=1 t=152502
er bu shi 	而不是	c=1 d=1 t=114419
er cha shu 	二叉樹	c=1 d=1 t=100199
er ci 	二次	c=3 d=1 t=68112
er fang dong 	二房東	c=0 d=0.1 t=105732
er fang dong vandyke chuan 	二房東VanDyke傳	c=1 d=1 t=105733
er guo 	而過	c=2 d=1 t=75332
er ji 	二級	c=9 d=1 t=146775
er ji 	耳機	c=1 d=1 t=77299
er jin zhi 	二進制	c=5 d=1 t=89817
er qi 	二期	c=6 d=1 t=141218
er qie 	而且	c=14 d=1 t=149065
er wei 	二維	c=2 d=1 t=124074
er wei ma 	二維碼	c=28 d=1 t=134710
er yi 	而已	c=9 d=1 t=146516
er yun 	而云	c=1 d=1 t=27867
fa 	法	c=11 d=1 t=151774
fa 	發	c=1432 d=3.27407 t=156508
fa ban 	發版	c=4 d=1 t=143797
fa bao 	發包	c=46 d=1.31037 t=153100
fa bu 	發佈	c=123 d=1 t=150680
fa bu hui 	發佈會	c=1 d=1 t=125098
fa chu 	發出	c=3 d=1 t=105011
fa ge 	發個	c=8 d=1 t=78291
fa gui 	法規	c=2 d=1 t=122272
fa guo lai 	發過來	c=1 d=1 t=88077
fa lv 	法律	c=2 d=1 t=46858
fa nan 	發難	c=2 d=1 t=96913
fa piao 	發票	c=2 d=1.97045 t=82292
fa qi 	發起	c=10 d=1 t=145330
fa sheng 	發生	c=4 d=1 t=154312
fa song 	發送	c=65 d=1 t=146219
fa song ren 	發送人	c=1 d=1 t=104835
fa wan 	發完	c=1 d=1 t=102370
fa xia 	發下	c=1 d=1 t=139345
fa xian 	發現	c=33 d=1 t=155893
fa xiao xi 	發消息	c=1 d=1 t=103770
fa yan ren 	發言人	c=1 d=1 t=16580
fan 	凡	c=2 d=1 t=99543
fan 	反	c=18 d=1 t=155798
fan 	樊	c=17 d=1 t=103810
fan 	泛	c=5 d=1 t=147776
fan 	煩	c=1 d=1 t=126239
fan 	翻	c=1 d=1 t=97212
fan 	返	c=2 d=1.18544 t=105195
fan 	飯	c=21 d=1 t=138747
fan dao 	反倒	c=1 d=1 t=71294
fan dao shi 	反倒是	c=1 d=1 t=107423
fan dui 	反對	c=1 d=1 t=122233
fan feng 	反諷	c=1 d=1 t=50685
fan fu 	反覆	c=2 d=1 t=140539
fan hao 	番號	c=4 d=3.91173 t=105756
fan hui 	返回	c=343 d=1.06017 t=156575
fan hui suo you 	返回所有	c=1 d=1 t=23564
fan kui 	反饋	c=83 d=2.69949 t=156639
fan li 	返利	c=1 d=1 t=110535
fan mang 	繁忙	c=1 d=1 t=58741
fan she 	反射	c=1 d=1 t=48369
fan ti 	繁體	c=4 d=1.98511 t=146749
fan wei 	範圍	c=38 d=1.00012 t=151450
fan wen 	反問	c=1 d=1 t=147519
fan xing 	泛型	c=8 d=1.39345 t=128420
fan xuan 	反選	c=2 d=1 t=115237
fan ye 	翻頁	c=2 d=1 t=13725
fan yi 	翻譯	c=6 d=1 t=124377
fan ying 	反應	c=10 d=1 t=140476
fan zao 	煩躁	c=1 d=1 t=28705
fan zheng 	反正	c=33 d=1 t=150775
fang 	仿	c=1 d=1 t=12205
fang 	放	c=116 d=1.36615 t=156056
fang 	方	c=3 d=1 t=48502
fang 	芳	c=2 d=1 t=96725
fang 	防	c=5 d=1 t=109959
fang an 	方案	c=19 d=1.70117 t=145624
fang bian 	方便	c=60 d=1 t=151738
fang da 	放大	c=2 d=1 t=88805
fang dao 	放到	c=1 d=1 t=49544
fang di chan 	房地產	c=0 d=0.1 t=105733
fang fa 	方法	c=31 d=1 t=151034
fang guo 	放過	c=1 d=1 t=31725
fang huo qiang 	防火牆	c=10 d=1 t=153950
fang jia 	放假	c=7 d=1.00219 t=140896
fang kai 	放開	c=5 d=1.00001 t=45697
fang ke 	訪客	c=8 d=1.06946 t=88514
fang ru 	放入	c=1 d=1 t=40432
fang shang 	放上	c=1 d=1 t=52088
fang shi 	方式	c=54 d=1.00002 t=148671
fang wen 	訪問	c=159 d=1.00001 t=156220
fang xia 	放下	c=1 d=1 t=58037
fang xiang 	方向	c=1 d=1 t=154327
fang zai 	放在	c=4 d=1 t=138060
fang zhe 	放着	c=7 d=1.01 t=117020
fang zi 	房子	c=1 d=1 t=156400
fei 	費	c=0 d=0.1 t=92116
fei 	非	c=21 d=1 t=141390
fei 	飛	c=3 d=1 t=151865
fei hua 	廢話	c=1 d=1 t=127330
fei li pu 	飛利浦	c=1 d=1 t=150422
fei qi 	廢棄	c=2 d=1 t=151715
fei shu 	飛書	c=5 d=1.06378 t=154296
fei yong 	費用	c=6 d=3.87283 t=92115
fen 	份	c=2 d=1.81465 t=122663
fen 	分	c=44 d=1.0054 t=155292
fen 	粉	c=3 d=1.98511 t=104868
fen bie 	分別	c=5 d=1 t=98855
fen bu 	分佈	c=1 d=1 t=66446
fen bu shi 	分佈式	c=3 d=1.91393 t=105818
fen ceng 	分層	c=1 d=1 t=37514
fen cheng 	分成	c=1 d=1 t=80805
fen ge 	分割	c=11 d=1 t=141268
fen ge 	分隔	c=1 d=1 t=37281
fen gong si 	分公司	c=5 d=2.88957 t=96310
fen jie 	分解	c=1 d=1 t=29160
fen kai 	分開	c=28 d=1 t=155061
fen lei 	分類	c=118 d=1 t=150928
fen li 	分離	c=13 d=1 t=151608
fen pei 	分配	c=7 d=1 t=146754
fen pian 	分片	c=2 d=1 t=111721
fen qi 	分期	c=1 d=1 t=110450
fen qu 	分區	c=2 d=1 t=124200
fen se 	粉色	c=0 d=0.1 t=85383
fen shu 	分數	c=26 d=1 t=155286
fen si 	粉絲	c=4 d=1.67706 t=11402
fen xi 	分析	c=9 d=1 t=155539
fen xi xian 	汾西縣	c=0 d=0.1 t=133026
fen xi xian ni 	汾西縣你	c=1 d=1 t=133027
fen xiang 	分享	c=32 d=1.00496 t=129459
fen ye 	分頁	c=99 d=1.50068 t=151509
fen zhi 	分支	c=59 d=1.00303 t=148742
fen zhong 	分鐘	c=26 d=1.96151 t=153167
fen zu 	分組	c=78 d=1 t=145707
feng 	封	c=2 d=1 t=133105
feng 	峯	c=2 d=1.00004 t=89673
feng 	鋒	c=58 d=1 t=156423
feng 	風	c=3 d=1.04954 t=145147
feng ge 	風格	c=2 d=1 t=63382
feng huang 	鳳凰	c=1 d=1 t=59426
feng mian 	封面	c=19 d=1.956 t=137380
feng shan 	風扇	c=1 d=1 t=115687
feng su 	風俗	c=1 d=1 t=50911
feng xian 	風險	c=2 d=1 t=22929
feng xian xing 	風險性	c=2 d=1 t=137486
feng xiong 	豐胸	c=3 d=1.02271 t=139298
feng zhi gu 	楓之谷	c=1 d=1 t=55729
feng zhuang 	封裝	c=13 d=1 t=141677
fou 	否	c=20 d=1 t=134324
fou ze 	否則	c=6 d=1 t=110053
fu 	付	c=4 d=1 t=42173
fu 	夫	c=1 d=1 t=10269
fu 	富	c=7 d=1 t=81657
fu 	服	c=10 d=1.12431 t=126647
fu 	父	c=21 d=1 t=151783
fu 	福	c=2 d=1.17552 t=114174
fu 	芙	c=2 d=1.97045 t=44323
fu 	覆	c=2 d=1.96079 t=133090
fu 	負	c=1 d=1 t=93947
fu 	附	c=3 d=1.00215 t=140175
fu bei 	父輩	c=1 d=1 t=81493
fu ben 	副本	c=1 d=1.09501 t=6286
fu ben ji 	副本集	c=1 d=1 t=6287
fu biao ti 	副標題	c=1 d=1 t=88817
fu cai dan 	父菜單	c=1 d=1 t=314
fu cha 	複查	c=1 d=1 t=94515
fu dong 	浮動	c=6 d=1.99501 t=56405
fu er 	福爾	c=1 d=1 t=133445
fu fei 	付費	c=3 d=1 t=119969
fu gai 	覆蓋	c=70 d=1 t=156522
fu gong 	復工	c=3 d=2.8345 t=133137
fu hao 	符號	c=5 d=1 t=142473
fu he 	符合	c=1 d=1 t=97956
fu hua qi 	孵化器	c=1 d=1 t=17596
fu hua wu 	氟化物	c=7 d=1 t=143887
fu jia qi 	負佳期	c=1 d=1 t=29589
fu jia wu 	附加物	c=2 d=1 t=118817
fu jian 	附件	c=16 d=1 t=120866
fu lei 	父類	c=2 d=1 t=63895
fu mian 	負面	c=7 d=1 t=23248
fu mu 	父母	c=1 d=1 t=113645
fu qin 	父親	c=1 d=1 t=112843
fu wen ben 	富文本	c=8 d=2.01171 t=125247
fu wu 	服務	c=220 d=2.06282 t=156286
fu wu qi 	服務器	c=118 d=1.10494 t=155041
fu wu qing qiu 	服務請求	c=1 d=1 t=45797
fu xian 	復現	c=59 d=1.92312 t=148324
fu yong 	復用	c=17 d=1 t=154559
fu za 	複雜	c=6 d=1.93707 t=152397
fu zai 	負載	c=18 d=1 t=150790
fu ze 	負責	c=19 d=1.00003 t=149535
fu zhi 	複製	c=21 d=1.77105 t=155149
fu zhu 	輔助	c=3 d=1 t=143584
gai 	改	c=667 d=1.84828 t=156661
gai 	蓋	c=1 d=1 t=138004
